x-coordinate,y-coordinate,class
307.713,106.563,right_sleeve
308.356,107.422,right_sleeve
308.356,109.141,right_sleeve
309.0,110.0,right_sleeve
309.0,111.719,right_sleeve
309.644,112.578,right_sleeve
309.644,113.438,right_sleeve
310.288,114.297,right_sleeve
310.288,115.156,right_sleeve
310.931,116.016,right_sleeve
310.931,116.875,right_sleeve
311.575,117.734,right_sleeve
311.575,120.313,right_sleeve
312.219,121.172,right_sleeve
312.219,122.031,right_sleeve
314.15,124.609,right_sleeve
314.15,126.328,right_sleeve
316.081,128.906,right_sleeve
316.081,129.766,right_sleeve
316.725,130.625,right_sleeve
316.725,132.344,right_sleeve
318.656,134.922,right_sleeve
318.656,135.781,right_sleeve
319.3,136.641,right_sleeve
319.3,137.5,right_sleeve
319.944,138.359,right_sleeve
319.944,139.219,right_sleeve
321.875,141.797,right_sleeve
321.875,142.656,right_sleeve
324.45,146.094,right_sleeve
324.45,146.953,right_sleeve
325.094,147.813,right_sleeve
325.094,148.672,right_sleeve
327.025,151.25,right_sleeve
327.025,152.109,right_sleeve
332.175,158.984,right_sleeve
332.175,159.844,right_sleeve
333.463,161.563,right_sleeve
334.106,161.563,right_sleeve
334.75,162.422,right_sleeve
334.75,163.281,right_sleeve
335.394,164.141,right_sleeve
336.038,164.141,right_sleeve
338.613,167.578,right_sleeve
339.9,167.578,right_sleeve
341.188,169.297,right_sleeve
341.831,169.297,right_sleeve
342.475,170.156,right_sleeve
343.119,170.156,right_sleeve
343.763,171.016,right_sleeve
344.406,171.016,right_sleeve
345.05,171.875,right_sleeve
346.338,171.875,right_sleeve
347.625,173.594,right_sleeve
348.913,173.594,right_sleeve
349.556,174.453,right_sleeve
357.281,174.453,right_sleeve
357.925,173.594,right_sleeve
358.569,173.594,right_sleeve
360.5,171.016,right_sleeve
361.144,171.016,right_sleeve
361.788,170.156,right_sleeve
364.363,170.156,right_sleeve
365.006,171.016,right_sleeve
374.663,171.016,right_sleeve
375.95,169.297,right_sleeve
375.95,167.578,right_sleeve
376.594,166.719,right_sleeve
376.594,165.859,right_sleeve
377.238,165.0,right_sleeve
377.238,162.422,right_sleeve
377.881,161.563,right_sleeve
377.881,158.125,right_sleeve
378.525,157.266,right_sleeve
378.525,156.406,right_sleeve
380.456,153.828,right_sleeve
380.456,152.969,right_sleeve
383.031,149.531,right_sleeve
383.031,148.672,right_sleeve
384.319,146.953,right_sleeve
384.963,146.953,right_sleeve
385.606,146.094,right_sleeve
385.606,145.234,right_sleeve
386.25,144.375,right_sleeve
386.25,143.516,right_sleeve
388.181,140.938,right_sleeve
388.181,140.078,right_sleeve
391.4,135.781,right_sleeve
391.4,134.922,right_sleeve
392.044,134.063,right_sleeve
392.688,134.063,right_sleeve
393.331,133.203,right_sleeve
394.619,133.203,right_sleeve
397.194,129.766,right_sleeve
397.838,129.766,right_sleeve
398.481,128.906,right_sleeve
398.481,128.047,right_sleeve
399.769,126.328,right_sleeve
400.413,126.328,right_sleeve
402.344,123.75,right_sleeve
402.988,123.75,right_sleeve
403.631,122.891,right_sleeve
404.275,122.891,right_sleeve
404.919,122.031,right_sleeve
405.563,122.031,right_sleeve
405.563,121.172,right_sleeve
406.206,120.313,right_sleeve
406.85,120.313,right_sleeve
410.069,116.016,right_sleeve
411.356,116.016,right_sleeve
411.356,83.359,right_sleeve
409.425,83.359,right_sleeve
408.781,82.5,right_sleeve
399.125,82.5,right_sleeve
398.481,81.641,right_sleeve
397.194,81.641,right_sleeve
395.906,79.922,right_sleeve
394.619,79.922,right_sleeve
393.975,79.063,right_sleeve
386.25,79.063,right_sleeve
385.606,78.203,right_sleeve
384.963,78.203,right_sleeve
383.675,76.484,right_sleeve
383.031,76.484,right_sleeve
382.388,75.625,right_sleeve
379.169,75.625,right_sleeve
377.238,73.047,right_sleeve
376.594,73.047,right_sleeve
375.95,72.188,right_sleeve
374.019,72.188,right_sleeve
371.444,68.75,right_sleeve
369.513,68.75,right_sleeve
366.938,65.313,right_sleeve
366.294,65.313,right_sleeve
364.363,62.734,right_sleeve
363.719,62.734,right_sleeve
363.075,61.875,right_sleeve
361.144,61.875,right_sleeve
358.569,58.438,right_sleeve
356.638,58.438,right_sleeve
354.063,55.0,right_sleeve
352.775,55.0,right_sleeve
352.131,54.141,right_sleeve
351.488,54.141,right_sleeve
350.2,52.422,right_sleeve
349.556,52.422,right_sleeve
348.913,51.563,right_sleeve
348.269,51.563,right_sleeve
345.694,48.125,right_sleeve
343.763,48.125,right_sleeve
343.119,47.266,right_sleeve
342.475,47.266,right_sleeve
341.831,46.406,right_sleeve
341.831,45.547,right_sleeve
341.188,44.688,right_sleeve
339.9,44.688,right_sleeve
339.256,43.828,right_sleeve
338.613,43.828,right_sleeve
337.325,42.109,right_sleeve
336.681,42.109,right_sleeve
336.038,41.25,right_sleeve
335.394,41.25,right_sleeve
333.463,38.672,right_sleeve
332.819,38.672,right_sleeve
332.175,37.813,right_sleeve
330.244,37.813,right_sleeve
328.956,36.094,right_sleeve
258.788,18.906,t_shirt
259.431,19.766,t_shirt
260.075,19.766,t_shirt
261.363,21.484,t_shirt
262.006,21.484,t_shirt
263.938,24.063,t_shirt
263.938,25.781,t_shirt
262.65,27.5,t_shirt
262.65,29.219,t_shirt
260.075,32.656,t_shirt
260.075,33.516,t_shirt
258.788,35.234,t_shirt
258.144,35.234,t_shirt
258.144,36.094,t_shirt
257.5,36.953,t_shirt
257.5,37.813,t_shirt
252.35,44.688,t_shirt
252.35,45.547,t_shirt
250.419,48.125,t_shirt
249.775,48.125,t_shirt
249.775,48.984,t_shirt
248.488,50.703,t_shirt
247.844,50.703,t_shirt
